condition,condition_label,fold,patient_id,structure,present,dice,iou,sensitivity,precision,hd95,assd,cldice,cc_error,centerline_overlap,n_components_pred,n_components_gt
constraints,+Constraints (containment + exclusion),0,14,vessel,1,0.5597366089630205,0.38863489306633975,0.738334007278609,0.45071263891151625,43.73785545725808,7.6689126905694,0.6589301146291621,176.0,0.7202337472607743,178.0,2.0
constraints,+Constraints (containment + exclusion),0,17,liver,1,0.8848640305979754,0.7935032631693073,0.9477428489295223,0.8298095958569504,76.55422907613932,9.224045961728562,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),0,17,tumour,1,0.536511918015855,0.3665980779894505,0.48621790001519527,0.5984111191735426,69.1599587998886,17.37772244961952,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),0,17,vessel,1,0.6932632008058116,0.5305300969815184,0.6602474943365787,0.7297546140065825,17.4928556845359,2.83965098465181,0.7316677265041958,352.0,0.6982113821138212,376.0,24.0
constraints,+Constraints (containment + exclusion),1,02,liver,1,0.8615324015682999,0.7567474056838391,0.9669554875976895,0.7768371207026584,88.02272433866155,11.286427494185649,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),1,02,tumour,1,0.004395962227287529,0.002202822876723505,0.00389948006932409,0.005037313432835821,159.97499804656977,77.14754526247361,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),1,02,vessel,1,0.41881443843711824,0.2648736799893062,0.7834696104635531,0.28579505463440524,93.23411336686804,19.23644938671573,0.46150855255928747,399.0,0.8222643896268185,402.0,3.0
constraints,+Constraints (containment + exclusion),1,05,liver,1,0.8876448345262989,0.7979868859136297,0.9689157957329217,0.8189525296240016,113.33578428722325,13.538884086071182,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),1,05,tumour,1,0.0,0.0,0.0,0.0,137.93114224133723,71.06800880860148,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),1,05,vessel,1,0.7342693293419762,0.5801149852521522,0.705578463434286,0.7653924034613133,30.990315016217004,3.9076713555048315,0.7334179311655782,427.0,0.6869684082624544,475.0,48.0
